kt_변수,kt_상관관계,kia_변수,kia_상관관계,lg_변수,lg_상관관계,nc_변수,nc_상관관계,ssg_변수,ssg_상관관계,두산_변수,두산_상관관계,롯데_변수,롯데_상관관계,삼성_변수,삼성_상관관계,키움_변수,키움_상관관계,한화_변수,한화_상관관계
순위,-0.696322056,희생타,-0.280869915,피안타,-0.469932768,3루타_투수,-0.443432933,2루타_투수,-0.459875538,WHIP,-0.263530469,피안타,-0.247691682,ERA,0.42755536,피안타율,-0.659958502,볼넷,-0.214779815
완투,-0.709544234,삼진,-0.280918828,피안타율,-0.551105839,ERA,0.446047266,보크,-0.478091183,삼진_투수,-0.296556478,삼진,-0.250218174,투구수,-0.478249484,피안타,-0.671366355,희생플라이,-0.222652363
총타자상대,-0.73595255,도루허용,-0.281296874,견제사,-0.551220876,고의사구,-0.449437266,사구_투수,-0.503132173,평균연봉,-0.3054403,피안타율,-0.271129839,순위,-0.498699391,볼넷_투수,-0.694851358,완봉,-0.266561035
병살타,-0.743673311,누적이동거리,-0.287373462,어시스트,-0.583386367,볼넷_투수,-0.488819721,피안타율,-0.561840972,삼진,-0.325035656,볼넷_투수,-0.340218995,피안타율,-0.509615757,투구수,-0.704226921,홀드,-0.332279374
투구수,-0.757399614,수비율,-0.291223784,2루타_투수,-0.619635269,블론세이브,-0.510034905,도루저지율,-0.58263585,희생번트,-0.376969524,순위,-0.385187873,피안타,-0.518185852,ERA,0.81479802,3루타_투수,-0.34208071
피안타,-0.836103248,견제사,-0.344334865,ERA,0.688957227,삼진,-0.517034605,병살타,-0.610115434,블론세이브,-0.38170404,총타자상대,-0.407134925,볼넷_투수,-0.581772659,도루허용,-0.832518889,고의사구,-0.392964279
2루타_투수,-0.865361353,보크,-0.348640994,폭투,-0.726228258,희생플라이_투수,-0.527998489,순위_투수,-0.65121377,홀드,-0.397211722,고의사구,-0.441631996,보크,-0.624994558,폭투,-0.869999007,볼넷_투수,-0.428930254
WHIP,-0.870598684,완봉,-0.350136575,순위,-0.730105109,포일,-0.607069691,투구수,-0.680053542,투구수,-0.456354412,희생플라이_투수,-0.443073964,총타자상대,-0.688599334,WHIP,-0.906481373,블론세이브,-0.467994239
피안타율,-0.877491303,볼넷_투수,-0.483412445,도루저지율,-0.739569175,WHIP,-0.658426014,총타자상대,-0.75024238,볼넷_투수,-0.613394298,WHIP,-0.461753185,병살,-0.690037272,삼진,-0.923209378,희생플라이_투수,-0.580470353
순위_투수,-0.882147729,순위,-0.667080497,완투,-0.752917382,2루타_투수,-0.693350147,볼넷_투수,-0.764105955,순위,-0.617344146,폭투,-0.707059144,WHIP,-0.695706636,총타자상대,-0.94067542,순위,-0.587277704
ERA,0.889498371,순위_투수,-0.688684545,사구_투수,-0.798014635,순위,-0.732581028,WHIP,-0.851438764,순위_투수,-0.650205723,순위_투수,-0.819517146,어시스트,-0.704093794,희생플라이_투수,-0.960652555,삼진,-0.631942084
