kt,,kia,,lg,,nc,,ssg,,두산,,롯데,,삼성,,키움,,한화,,,,
변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,변수,상관관계,,투수요인,
폭투,-0.664356595,자책점,-0.13834242,2루타,-0.435577055,피안타율,-0.437856645,장타율,-0.711626767,고의타구,-0.215930544,ERA,-0.150231457,포일,-0.370607274,순위,-0.584519419,희생타,-0.019099918,,,
도루저지율,-0.673476685,ERA,-0.199866119,WHIP,-0.460652623,3루타_투수,-0.443432933,도루저지율,-0.72498602,총타자상대,-0.227311225,희생타,-0.170433323,3루타_투수,-0.384062137,블론세이브,-0.591352856,투구수,-0.076578459,,,
순위,-0.696322056,홀드,-0.206037797,피안타,-0.469932768,ERA,-0.446047266,투구수,-0.753935031,도루허용,-0.258935599,3루타,-0.208225782,폭투,-0.396450894,포일,-0.639755069,도루허용,-0.101019238,,,
완투,-0.709544234,볼넷,-0.20778102,피안타율,-0.551105839,고의사구,-0.449437266,희생플라이_투수,-0.759133305,보크,-0.261139207,실점,-0.231269344,희생플라이_투수,-0.401169275,피안타율,-0.659958502,2루타_투수,-0.125428171,,,
총타자상대,-0.73595255,사구_투수,-0.240663041,견제사,-0.551220876,볼넷_투수,-0.488819721,출루율+장타율,-0.776548673,WHIP,-0.263530469,피안타,-0.247691682,ERA,-0.42755536,피안타,-0.671366355,볼넷,-0.214779815,,,
병살타,-0.743673311,희생타,-0.280869915,순위_수비,-0.552077677,실책,-0.491534431,실점,-0.787263309,삼진_투수,-0.296556478,삼진,-0.250218174,자책점,-0.431876653,볼넷_투수,-0.694851358,희생플라이,-0.222652363,,,
투구수,-0.757399614,삼진,-0.280918828,어시스트,-0.583386367,블론세이브,-0.510034905,패배,-0.799721138,평균연봉,-0.3054403,피안타율,-0.271129839,투구수,-0.478249484,투구수,-0.704226921,완봉,-0.266561035,,,
피홈런,-0.782762703,도루허용,-0.281296874,2루타_투수,-0.619635269,삼진,-0.517034605,2루타_투수,-0.81714176,삼진,-0.325035656,볼넷_투수,-0.340218995,순위,-0.498699391,ERA,-0.81479802,홀드,-0.332279374,,,
피안타,-0.836103248,누적이동거리,-0.287373462,피홈런,-0.634735677,희생플라이_투수,-0.527998489,출루율,-0.818764047,희생번트,-0.376969524,순위,-0.385187873,피안타율,-0.509615757,자책점,-0.823081409,3루타_투수,-0.34208071,,,
순위_수비,-0.856486973,수비율,-0.291223784,실점,-0.638740246,실점,-0.52812306,ERA,-0.822721899,블론세이브,-0.38170404,순위_수비,-0.398095059,피안타,-0.518185852,도루허용,-0.832518889,고의사구,-0.392964279,,,
2루타_투수,-0.865361353,견제사,-0.344334865,자책점,-0.673900082,연도,-0.555838305,자책점,-0.823747137,홀드,-0.397211722,총타자상대,-0.407134925,실점,-0.533359605,실점,-0.852483154,실책,-0.412661341,,,
WHIP,-0.870598684,보크,-0.348640994,ERA,-0.688957227,도루실패,-0.565952201,순위_투수,-0.824135268,투구수,-0.456354412,고의사구,-0.441631996,볼넷_투수,-0.581772659,폭투,-0.869999007,볼넷_투수,-0.428930254,,,
자책점,-0.87149588,완봉,-0.350136575,폭투,-0.726228258,포일,-0.607069691,보크,-0.844007235,볼넷_투수,-0.613394298,희생플라이_투수,-0.443073964,보크,-0.624994558,연도,-0.872043268,연도,-0.438868137,,,
도루실패,-0.873900559,도루실패,-0.471576523,순위,-0.730105109,순위_수비,-0.63785178,총타자상대,-0.851215013,순위,-0.617344146,실책,-0.46102156,총타자상대,-0.688599334,WHIP,-0.906481373,순위_수비,-0.467994239,,,
피안타율,-0.877491303,볼넷_투수,-0.483412445,도루저지율,-0.739569175,WHIP,-0.658426014,WHIP,-0.851379829,순위_투수,-0.650205723,WHIP,-0.461753185,병살,-0.690037272,삼진,-0.923209378,블론세이브,-0.531950519,,,
실점,-0.879459683,순위,-0.667080497,완투,-0.752917382,2루타_투수,-0.693350147,사구_투수,-0.913592769,연도,-0.659576769,폭투,-0.707059144,WHIP,-0.695706636,총타자상대,-0.94067542,희생플라이_투수,-0.580470353,,,
순위_투수,-0.882147729,순위_수비,-0.688684545,사구_투수,-0.798014635,순위,-0.732581028,볼넷_투수,-0.92491909,포일,-0.729282085,순위_투수,-0.819517146,어시스트,-0.704093794,희생플라이_투수,-0.960652555,순위,-0.587277704,,,
ERA,-0.889498371,순위_투수,-0.721039793,삼진,-0.811316413,순위_투수,-0.813512546,고의사구,-0.939963211,실책,-0.777475968,패배,-0.951930402,순위_투수,-0.897964066,순위_투수,-0.974051909,삼진,-0.631942084,,,
사구_투수,-0.906635655,희생플라이_투수,-0.779919689,도루실패,-0.832827735,패배,-0.972503553,포일,-0.940155915,순위_수비,-0.810883721,경기,,패배,-0.96198208,패배,-0.977892084,순위_투수,-0.634067573,,,
패배,-0.98586849,패배,-0.949723703,패배,-0.883020289,경기,,경기,,패배,-0.974841356,멀티히트,,이닝,-1,경기,,패배,-0.936038967,,,
경기,,경기,,경기,,경기수,,경기수,,경기,,경기수,,경기,,경기수,,경기,,,,
경기수,,경기수,,경기수,,이닝,,이닝,,경기수,,이닝,,경기수,,이닝,,경기수,,,,
경기수_수비,,경기수_수비,,경기수_수비,,경기수_수비,,경기수_수비,,경기수_수비,,경기수_수비,,경기수_수비,,경기수_수비,,경기수_수비,,,,
